id,name,slug,start_date,end_date,city,state_region,country,category,event_type,venue,description,website,source_url
CONV-076,"International Conference on Computer Science, Programming and Security 2026",international-conference-on-computer-science-programming-and-security-2026-washington-2026,2026-07-17,2026-07-18,Washington,DC,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-077,"Global Summit and Training Program on Artificial Intelligence, Digital Technology, Advanced Science and Law for Sustainable Development 2026",global-summit-and-training-program-on-artificial-intelligence-digital-technology-advanced-science-and-law-for-sustainable-development-2026-concord-2026,2026-07-20,2026-07-21,Concord,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-078,Global Summit on Artificial Intelligence 2026,global-summit-on-artificial-intelligence-2026-stillwater-2026,2026-08-05,2026-08-06,Stillwater,OK,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-079,International Conference on Computing and Information Technology 2026,international-conference-on-computing-and-information-technology-2026-new-york-2026,2026-08-09,2026-08-10,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-080,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-new-york-2026,2026-08-09,2026-08-10,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-081,International Conference on Ubiquitous Intelligence and Computing 2026,international-conference-on-ubiquitous-intelligence-and-computing-2026-new-york-2026,2026-08-09,2026-08-10,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-082,International Conference on Computing and Information Technology 2026,international-conference-on-computing-and-information-technology-2026-seattle-2026,2026-09-06,2026-09-07,Seattle,WA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-083,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-seattle-2026,2026-09-06,2026-09-07,Seattle,WA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-084,International Conference on Ubiquitous Intelligence and Computing 2026,international-conference-on-ubiquitous-intelligence-and-computing-2026-seattle-2026,2026-09-06,2026-09-07,Seattle,WA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-085,"International Conference on Computer Science, Cybersecurity and Information Technology 2026",international-conference-on-computer-science-cybersecurity-and-information-technology-2026-seattle-2026,2026-09-06,2026-09-07,Seattle,WA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-086,"International Conference on Computer Science, Programming and Security 2026",international-conference-on-computer-science-programming-and-security-2026-seattle-2026,2026-09-06,2026-09-07,Seattle,WA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-087,International Conference on Innovation and Information Management 2026,international-conference-on-innovation-and-information-management-2026-new-york-2026,2026-09-09,2026-09-10,New York,NY,USA,Business,Conference,To be announced,"Business technology conference focused on innovation, information management, business intelligence and digital transformation.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-088,Intelligent Systems Conference 2026,intelligent-systems-conference-2026-amsterdam-2026,2026-09-03,2026-09-04,Amsterdam,North Holland,Netherlands,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-089,"International Conference on Computer Science, Cybersecurity and Information Technology 2026",international-conference-on-computer-science-cybersecurity-and-information-technology-2026-prague-2026,2026-09-06,2026-09-07,Prague,Prague,Czechia,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-090,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-sydney-2026,2026-09-06,2026-09-07,Sydney,NSW,Australia,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-091,International Conference on Computer Science and Information Engineering 2026,international-conference-on-computer-science-and-information-engineering-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-092,International Conference on Social Robotics 2026,international-conference-on-social-robotics-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-093,International Conference on Ubiquitous Intelligence and Computing 2026,international-conference-on-ubiquitous-intelligence-and-computing-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-094,International Conference on Machine Learning and Computer Vision 2026,international-conference-on-machine-learning-and-computer-vision-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-095,"International Conference on Artificial Intelligence, Law and Policy 2026",international-conference-on-artificial-intelligence-law-and-policy-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-096,International Conference on Computing and Information Technology 2026,international-conference-on-computing-and-information-technology-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-097,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-098,"International Conference on Computer Science, Cybersecurity and Information Technology 2026",international-conference-on-computer-science-cybersecurity-and-information-technology-2026-new-york-2026,2026-10-07,2026-10-08,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-099,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-houston-2026,2026-10-25,2026-10-26,Houston,TX,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-100,International Conference on Ubiquitous Intelligence and Computing 2026,international-conference-on-ubiquitous-intelligence-and-computing-2026-houston-2026,2026-10-25,2026-10-26,Houston,TX,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-101,"International Conference on Computer Science, Cybersecurity and Information Technology 2026",international-conference-on-computer-science-cybersecurity-and-information-technology-2026-houston-2026,2026-10-25,2026-10-26,Houston,TX,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-102,"International Conference on Computer Science, Programming and Security 2026",international-conference-on-computer-science-programming-and-security-2026-houston-2026,2026-10-25,2026-10-26,Houston,TX,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-103,International Conference on Computer Science and Information Technology 2026,international-conference-on-computer-science-and-information-technology-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-104,International Conference on Computer Science and Mathematics 2026,international-conference-on-computer-science-and-mathematics-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-105,International Conference on Pattern Recognition and Computer Vision 2026,international-conference-on-pattern-recognition-and-computer-vision-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-106,International Conference on Computer and Information Sciences 2026,international-conference-on-computer-and-information-sciences-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-107,International Conference on Computer Science and Technology 2026,international-conference-on-computer-science-and-technology-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-108,International Conference on Artificial Neural Networks 2026,international-conference-on-artificial-neural-networks-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-109,International Conference on Machine Learning and Deep Learning 2026,international-conference-on-machine-learning-and-deep-learning-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-110,International Conference on Computing and Information Technology 2026,international-conference-on-computing-and-information-technology-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-111,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-112,International Conference on Ubiquitous Intelligence and Computing 2026,international-conference-on-ubiquitous-intelligence-and-computing-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-113,"International Conference on Computer Science, Cybersecurity and Information Technology 2026",international-conference-on-computer-science-cybersecurity-and-information-technology-2026-los-angeles-2026,2026-10-28,2026-10-29,Los Angeles,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-114,International Conference on Artificial Intelligence and Fuzzy Logic Systems 2026,international-conference-on-artificial-intelligence-and-fuzzy-logic-systems-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-115,"International Conference on Computational Intelligence, Neural Networks and Applications 2026",international-conference-on-computational-intelligence-neural-networks-and-applications-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-116,International Conference on Computing and Information Technology 2026,international-conference-on-computing-and-information-technology-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-117,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-118,International Conference on Ubiquitous Intelligence and Computing 2026,international-conference-on-ubiquitous-intelligence-and-computing-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-119,"International Conference on Computer Science, Cybersecurity and Information Technology 2026",international-conference-on-computer-science-cybersecurity-and-information-technology-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-120,"International Conference on Computer Science, Programming and Security 2026",international-conference-on-computer-science-programming-and-security-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-121,International Conference on Artificial Consciousness and Artificial Intelligence 2026,international-conference-on-artificial-consciousness-and-artificial-intelligence-2026-san-francisco-2026,2026-11-01,2026-11-02,San Francisco,CA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-122,Next-Generation AI & Machine Learning 2026,next-generation-ai-machine-learning-2026-boston-2026,2026-11-02,2026-11-04,Boston,MA,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/event/next-generation-ai-machine-learning-nxt-ai-2026-november-boston-us,https://conferenceindex.org/event/next-generation-ai-machine-learning-nxt-ai-2026-november-boston-us
CONV-123,"International Conference on Sustainable Energy, Smart Cities and Business Intelligence 2026",international-conference-on-sustainable-energy-smart-cities-and-business-intelligence-2026-seattle-2026,2026-11-09,2026-11-10,Seattle,WA,USA,Business,Conference,To be announced,"Business technology conference focused on innovation, information management, business intelligence and digital transformation.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-124,International Conference on Computing and Information Technology 2026,international-conference-on-computing-and-information-technology-2026-las-vegas-2026,2026-11-15,2026-11-16,Las Vegas,NV,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-125,International Conference on Machine Learning and Cybernetics 2026,international-conference-on-machine-learning-and-cybernetics-2026-las-vegas-2026,2026-11-15,2026-11-16,Las Vegas,NV,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-126,International Conference on Ubiquitous Intelligence and Computing 2026,international-conference-on-ubiquitous-intelligence-and-computing-2026-las-vegas-2026,2026-11-15,2026-11-16,Las Vegas,NV,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-127,International Conference on Computer Science and Information Technology 2026,international-conference-on-computer-science-and-information-technology-2026-new-york-2026,2026-12-09,2026-12-10,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-128,International Conference on Computer Science and Mathematics 2026,international-conference-on-computer-science-and-mathematics-2026-new-york-2026,2026-12-09,2026-12-10,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-129,International Conference on Pattern Recognition and Computer Vision 2026,international-conference-on-pattern-recognition-and-computer-vision-2026-new-york-2026,2026-12-09,2026-12-10,New York,NY,USA,AI,Conference,To be announced,"Academic and professional conference focused on artificial intelligence, machine learning, neural networks, automation and applied intelligent systems.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-130,International Conference on Computing and Information Technology 2026,international-conference-on-computing-and-information-technology-2026-new-york-2026,2026-12-09,2026-12-10,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
CONV-131,International Conference on Computer and Information Sciences 2026,international-conference-on-computer-and-information-sciences-2026-new-york-2026,2026-12-09,2026-12-10,New York,NY,USA,Technology,Conference,To be announced,"Technology conference covering computing, cybersecurity, software engineering, information systems and digital infrastructure.",https://conferenceindex.org/conferences/artificial-intelligence/united-states,https://conferenceindex.org/conferences/artificial-intelligence/united-states
